,text,intent
5196,what will the weather be like in austin on march sixteenth,asking weather
5197,play games of xxd,play games
5198,"Thank you, goodbye",goodbye
5199,send whatsapp message,send whatsapp message
5200,send whatsapp message about,send whatsapp message
5201,play on youtube,play on youtube
5202,Enough talking,goodbye
5203,lets go nazi hunting,play games
5204,set the volume to low,volume control
5205,send an email to my assistant clara to cancel all appointments for tomorrow,send email
5206,list all the nearby shops,places near me
5207,play on youtube,play on youtube
5208,Can you tell me the time?,asking time
5209,what music do i usually listen to,play on youtube
5210,i want to play a game with you,play games
5211,say a good joke for me right now,tell me joke
5212,send email to dipesh,send email
5213,play minecraft,play games
5214,whats up,"greet and hello hi kind of things, general check in"
5215,download youtube video of <name>,download youtube video
5216,Tell me a joke,tell me joke
5217,send whatsapp message,send whatsapp message
5218,could you please lower your volume,volume control
5219,Hello,"greet and hello hi kind of things, general check in"
5220,turn speaker volume down,volume control
5221,volume control up,volume control
5222,what is the latest news from cbs,tell me news
5223,hi there,"greet and hello hi kind of things, general check in"
5224,See you later,goodbye
5225,what rihanna is doing,tell me about
5226,Hello,"greet and hello hi kind of things, general check in"
5227,Is it going to snow,asking weather
5228,set the volume to low,volume control
5229,next i want to hear shinedown,play on youtube
5230,tell me about my job,tell me about
5231,who's playing the oboe on this piece,play on youtube
5232,Quiet,goodbye
5233,i don't quite catch that.,tell me about
5234,time,asking time
5235,what is the track information currently,play on youtube
5236,take screenshot,take screenshot
5237,good day,goodbye
5238,please open snooker game i would like to play with you,play games
5239,please once again rephrase me about what you have said.,tell me about
5240,access latest news,tell me news
5241,what is the weather like day after tomorrow,asking weather
5242,open website stackoverflow.com,open website
5243,please tell me a joke,tell me joke
5244,send whatsapp message,send whatsapp message
5245,screen shot of <name>,take screenshot
5246,Tell me about,tell me about
5247,Stop talking,goodbye
5248,Hi there,"greet and hello hi kind of things, general check in"
5249,How about a joke,tell me joke
5250,My user is Bella,"greet and hello hi kind of things, general check in"
5251,Do you know what time it is?,asking time
5252,time,asking time
5253,what is the name of the music playing now,play on youtube
5254,what is the day,asking date
5255,take screenshot,take screenshot
5256,let's play workout playlist,play on youtube
5257,it is very hot today is not it,asking weather
5258,can you play monopoly with me,play games
5259,what is the current time in chennai,asking time
5260,play flappy bird,play games
5261,what time is it day before tomorrow,asking time
5262,set the volume to low,volume control
5263,see you later,goodbye
5264,it was not clear.,tell me about
5265,good news for economy,tell me news
5266,Hello,"greet and hello hi kind of things, general check in"
5267,play games of c,play games
5268,your birth date,tell me about
5269,download youtube video hd of,download youtube video
5270,Do you know what time it is?,asking time
5271,hey,"greet and hello hi kind of things, general check in"
5272,good evening,goodbye
5273,"s1, again explain to me please.",tell me about
5274,send whatsapp message,send whatsapp message
5275,"s1, could you please clarify me about what you've just said once again.",tell me about
5276,what is the weather day before tomorrow,asking weather
5277,tell me about my family,tell me about
5278,send whatsapp message about <name>,send whatsapp message
5279,list all emails with subject contract,send email
5280,volume control decrease,volume control
5281,tell me a joke about asia,tell me joke
5282,find funny jokes,tell me joke
5283,download youtube video of minecraft,download youtube video
5284,send email to <name> about <name>,send email
5285,volume control mute,volume control
5286,do i have any emails from robert,send email
5287,volume control increase,volume control
5288,time,asking time
5289,what is the weather like now tomorrow,asking weather
5290,open website quora.com,open website
5291,My user is Adam,"greet and hello hi kind of things, general check in"
5292,what is the weather tomorrow,asking weather
5293,which is the best place to visit in this month,places near me
5294,did mike send me an email,send email
5295,Where can I find something nearby?,places near me
5296,"Thank you, bye",goodbye
5297,jlo fan updates,tell me about
5298,tell me a fun joke,tell me joke
5299,tell me a joke about xenophobia,tell me joke
5300,what is the weather like now day after tomorrow,asking weather
5301,stop playing,volume control
5302,veganism,tell me about
5303,turn on console,play games
5304,Hola how are you?,"greet and hello hi kind of things, general check in"
5305,send whatsapp message about <name>,send whatsapp message
5306,what is the weather like now day before tomorrow,asking weather
5307,what is the update on stock market,tell me news
5308,Can you tell me the time?,asking time
5309,tell me about tomorrow,tell me about
5310,tell me news day after tomorrow,tell me news
5311,check the status of my power usage,tell me about
5312,has amy sent me any new emails,send email
5313,could you harvest the crops in farmvile,play games
5314,what is the weather like day before tomorrow,asking weather
5315,what is my most played song,play on youtube
5316,turn down media volume,volume control
5317,i am bored,i am bored
5318,today,asking date
5319,I am Bella,"greet and hello hi kind of things, general check in"
5320,i am bored today what can i do,i am bored
5321,bye,goodbye
5322,download youtube video of,download youtube video
5323,what is the latest email from zita,send email
5324,i am bored what can i do today with my wife,i am bored
5325,i want to listen jazz,play on youtube
5326,show me the latest emails from amazon,send email
5327,What are the top places nearby?,places near me
5328,send email about,send email
5329,My user is Bella,"greet and hello hi kind of things, general check in"
5330,Can you turn the volume up?,volume control
5331,Great thanks! This is Bella,"greet and hello hi kind of things, general check in"
5332,volume control decrease,volume control
5333,play pacman game with me,play games
5334,Do you know what time it is?,asking time
5335,new policies,tell me news
5336,Hola how are you?,"greet and hello hi kind of things, general check in"
5337,take screenshot,take screenshot
5338,open songs by prince,play on youtube
5339,Enough talking,goodbye
5340,play bad guy on youtube,play on youtube
5341,capture selfie,click photo
5342,Can you control the volume?,volume control
5343,Hope you are doing well?,"greet and hello hi kind of things, general check in"
5344,funny story,tell me joke
5345,Great thanks! This is Bella,"greet and hello hi kind of things, general check in"
5346,Please be quiet,goodbye
5347,whats the date today,asking time
5348,what is your mood today,tell me about
5349,daily cases of india,covid cases
5350,play bad guy on youtube,play on youtube
5351,be funny for me,tell me joke
5352,What are your functionalities?,what can you do
5353,download youtube video of minecraft,download youtube video
5354,tell me a joke about kim jong un,tell me joke
5355,what is the temperature,asking weather
5356,i need some sushi what's closest,places near me
5357,tell me about president,tell me about
5358,good afternoon,goodbye
5359,olly schedule a news update for tomorrow morning at seven am,tell me news
5360,tell me news,tell me news
5361,Can you tell me the time?,asking time
5362,tell me a dad joke,tell me joke
5363,Tell me a joke,tell me joke
5364,places near me to eat today with my friends,places near me
5365,display date,asking time
5366,capture photo of,click photo
5367,Be quiet,goodbye
5368,what time is it day after tomorrow,asking time
5369,Great thanks! I am Bella,"greet and hello hi kind of things, general check in"
5370,I am Bella,"greet and hello hi kind of things, general check in"
5371,do i have a new email from sandy,send email
5372,download youtube video of,download youtube video
5373,what is the day of the week,asking date
5374,Enough talking,goodbye
5375,send email to <name> about <name>,send email
5376,What are some places near me?,places near me
5377,It is Bella,"greet and hello hi kind of things, general check in"
5378,download youtube video of minecraft,download youtube video
5379,screen shot of <name>,take screenshot
5380,open website stackoverflow.com,open website
5381,Hya there,"greet and hello hi kind of things, general check in"
5382,how warm is it in columbus ohio,asking weather
5383,click photo,click photo
5384,send email about <name>,send email
5385,send whatsapp message,send whatsapp message
5386,whats up,"greet and hello hi kind of things, general check in"
5387,This is Adam,"greet and hello hi kind of things, general check in"
5388,Bye,goodbye
5389,send whatsapp message about,send whatsapp message
5390,i want to hear tum hi ho next,play on youtube
5391,Hya there,"greet and hello hi kind of things, general check in"
5392,Quiet,goodbye
5393,daily cases of india,covid cases
5394,take screenshot,take screenshot
5395,tell me a joke about xenophobia,tell me joke
5396,tomorrow,asking date
5397,"s2, i was unclear about your answers.",tell me about
5398,open website github.com,open website
5399,tell me news,tell me news
5400,what is the weather like day after tomorrow,asking weather
5401,set a classic music,play on youtube
5402,i am not so clear about that.,tell me about
5403,I am feeling unoccupied,i am bored
5404,tell me about yours,tell me about
5405,"Thank you, goodbye",goodbye
5406,play me some melody song,play on youtube
5407,tell me a joke about xenophobia,tell me joke
5408,what clothing shops are close to my current location,places near me
5409,What are your functionalities?,what can you do
5410,tell me about my job,tell me about
5411,today,asking date
5412,is it a soft evening tonight,asking weather
5413,bingo,tell me about
5414,tell me a joke about donal trump,tell me joke
5415,i need to add a new email to my contacts,send email
5416,tomorrow,asking date
5417,take screenshot of google,take screenshot
5418,hi there,"greet and hello hi kind of things, general check in"
5419,have any emails come in since four hundred today,send email
5420,what is the weather like tomorrow,asking weather
5421,what is the day,asking date
5422,tell me a good doctor joke,tell me joke
5423,please do not speak,volume control
5424,i am bored,i am bored
5425,what is the time,asking time
5426,click photo,click photo
5427,silent mode,volume control
5428,what time is it now,asking time
5429,tell me about tomorrow,tell me about
5430,Can you tell me the time?,asking time
5431,who is the artist of this song,play on youtube
5432,when was this song first recorded,play on youtube
5433,what's the latest news about us election,tell me news
5434,what was the weather for the week,asking weather
5435,download youtube video hd of,download youtube video
5436,good bye,goodbye
5437,play bad guy on youtube,play on youtube
5438,daily cases of india,covid cases
5439,i would like it to be able to compute answer from search results like wolfram alpha does,tell me about
5440,volume control increase by 10,volume control
5441,What tasks can you complete?,what can you do
5442,i want to slow down my speaker,volume control
5443,Good thanks! My user is Adam,"greet and hello hi kind of things, general check in"
5444,play bad guy on youtube,play on youtube
5445,please find the most popular store in the area,places near me
5446,tell me about my life,tell me about
5447,Hya there,"greet and hello hi kind of things, general check in"
5448,please mute the volume control,volume control
5449,what is the weather like now today,asking weather
5450,See you later,goodbye
5451,send email to <name>,send email
5452,Can you increase the volume?,volume control
5453,tell me you,tell me about
5454,Enough talking,goodbye
5455,Tell me a joke,tell me joke
5456,"s1, would you please further clarify me on your answers.",tell me about
5457,send whatsapp message,send whatsapp message
5458,Tell me a joke,tell me joke
5459,volume control down,volume control
5460,play games of xxd,play games
5461,Hi there,"greet and hello hi kind of things, general check in"
5462,best restaurant in local area,places near me
5463,tell me what good news,tell me news
5464,take screenshot,take screenshot
5465,tell me a fun joke,tell me joke
5466,please explain me more on what you said.,tell me about
5467,covid cases of india past 48 hours,covid cases
5468,open games,play games
5469,good bye,goodbye
5470,i am bored what can i do today with my wife,i am bored
5471,download youtube video of minecraft,download youtube video
5472,get today's weather report,asking weather
5473,i need a naughty joke not to naughty though,tell me joke
5474,covid confirmed cases,covid cases
5475,"Thank you, goodbye",goodbye
5476,Can you recommend some places nearby?,places near me
5477,date,asking date
5478,screen shot of <name>,take screenshot
5479,What can I ask you to do?,what can you do
5480,Can you set the volume to maximum?,volume control
5481,let me hear some music,play on youtube
5482,what day is it day before tomorrow,asking date
5483,what's today date,asking time
5484,play bad guy on youtube,play on youtube
5485,take screenshot of google,take screenshot
5486,take screenshot of google,take screenshot
5487,Hya there,"greet and hello hi kind of things, general check in"
5488,click photo,click photo
5489,what are the scores from last night's hockey games,tell me about
5490,What are your functionalities?,what can you do
5491,what is the day of the week,asking date
5492,i've got a meeting by tonight seven pm please mute the music for an hour,volume control
5493,what time is it today,asking time
5494,tell me fun joke,tell me joke
5495,what are the details on umf,tell me about
5496,don't respond for fifty seconds,volume control
5497,Hola how are you?,"greet and hello hi kind of things, general check in"
5498,open website github.com,open website
5499,I am Bella,"greet and hello hi kind of things, general check in"
5500,covid cases,covid cases
5501,turn the volume down,volume control
5502,what can you do,what can you do
5503,hey there,"greet and hello hi kind of things, general check in"
5504,download youtube video of <name>,download youtube video
5505,play games,play games
5506,I am feeling a bit bored,i am bored
5507,how does it feel outside,asking weather
5508,"Thank you, goodbye",goodbye
5509,please play some jazz music,play on youtube
5510,I am looking for,tell me about
5511,Be quiet,goodbye
5512,will it snow next week,asking weather
5513,activate silent,volume control
5514,download youtube video of <name>,download youtube video
5515,"Thank you, goodbye",goodbye
5516,once again clarify me about your answers please.,tell me about
5517,play games with me,play games
5518,covid confirmed cases of,covid cases
5519,today,asking date
5520,My user is Adam,"greet and hello hi kind of things, general check in"
5521,volume control increase by 10,volume control
5522,play for me the game candy crush,play games
5523,open the weather app,asking weather
5524,i had a long hard day,tell me about
5525,Hello,"greet and hello hi kind of things, general check in"
5526,what are you doing,tell me about
5527,send whatsapp message,send whatsapp message
5528,send email to dipesh,send email
5529,volume control increase,volume control
5530,display latest emails,send email
5531,take screenshot of,take screenshot
5532,What can you assist me with?,what can you do
5533,what is the weather like day after tomorrow,asking weather
5534,what is the time,asking time
5535,what music is playing now nine hundred and ninety nine fm,play on youtube
5536,volume control unmute,volume control
5537,Shut up,goodbye
5538,take screenshot of google,take screenshot
5539,Hola how are you?,"greet and hello hi kind of things, general check in"
5540,Can you set the volume to minimum?,volume control
5541,new messages,send email
5542,send email to,send email
5543,"Thank you, goodbye",goodbye
5544,Quiet,goodbye
5545,Where should I go nearby?,places near me
5546,play games of xxd,play games
5547,play kishore kumar on youtube,play on youtube
5548,"s2, i didn't quite catch that.",tell me about
5549,covid cases of india past 24 hours,covid cases
5550,tell me a joke about a man,tell me joke
5551,what's on the radio right now,play on youtube
5552,play r and b,play on youtube
5553,tell me a joke about kim jong un,tell me joke
5554,play my country playlist,play on youtube
5555,read me the last email from stefan and oil change,send email
5556,what is the day of the week,asking date
5557,I have good news,tell me news
5558,Please be quiet,goodbye
5559,tell me a joke about xenophobia,tell me joke
5560,tell me fun joke,tell me joke
5561,What are your functionalities?,what can you do
5562,click selfie of,click photo
5563,This is Adam,"greet and hello hi kind of things, general check in"
5564,take screenshot,take screenshot
5565,Thanks good bye,goodbye
5566,do i have any new entries in my inbox,send email
5567,I am really bored,i am bored
5568,What are the things you can do?,what can you do
5569,hey there,"greet and hello hi kind of things, general check in"
5570,good bye,goodbye
5571,download youtube video of,download youtube video
5572,how is the weather likely to be this week,asking weather
5573,lets play,play games
5574,identify song,play on youtube
5575,what genre is this song currently playing,play on youtube
5576,Hello how are you?,"greet and hello hi kind of things, general check in"
5577,Do you know what time it is?,asking time
5578,what is the weather today,asking weather
5579,play kishore kumar on youtube,play on youtube
5580,Great thanks! This is Bella,"greet and hello hi kind of things, general check in"
5581,what day is it tomorrow,asking date
5582,Bye,goodbye
5583,Tell me a joke,tell me joke
5584,play let me love you on youtube,play on youtube
5585,Hello there,"greet and hello hi kind of things, general check in"
5586,Hi how are you?,"greet and hello hi kind of things, general check in"
5587,"s1, would you elaborate further on your answer to me please.",tell me about
5588,capture photo of <name>,click photo
5589,is mysore going to be very hot and humid today whats the weather status,asking weather
5590,what is the weather tomorrow,asking weather
5591,Hi there,"greet and hello hi kind of things, general check in"
5592,hey,"greet and hello hi kind of things, general check in"
5593,open website stackoverflow.com,open website
5594,hello,"greet and hello hi kind of things, general check in"
5595,I am so bored,i am bored
5596,Tell me a joke,tell me joke
5597,what time is it today,asking time
5598,whats up,"greet and hello hi kind of things, general check in"
5599,any recent news about north korea,tell me news
5600,what is the weather tomorrow,asking weather
5601,tell me about my life,tell me about
5602,download youtube video of minecraft,download youtube video
5603,tell me about tomorrow,tell me about
5604,date in new york,asking time
5605,I am so bored,i am bored
5606,play shape of you on youtube today,play on youtube
5607,hey there,"greet and hello hi kind of things, general check in"
5608,take screenshot of google,take screenshot
5609,Tell me a joke,tell me joke
5610,play pacman game with me,play games
5611,I am feeling unoccupied,i am bored
5612,Hello hope you are doing well?,"greet and hello hi kind of things, general check in"
5613,tell me a joke about the sun,tell me joke
5614,email mahmoud,send email
5615,what is the time in hyderabad,asking time
5616,play guru randhawa on youtube,play on youtube
5617,Great thanks! This is Bella,"greet and hello hi kind of things, general check in"
5618,horoscope,tell me about
5619,play my motivational playlist,play on youtube
5620,Shut up,goodbye
5621,Hello,"greet and hello hi kind of things, general check in"
5622,My user is Adam,"greet and hello hi kind of things, general check in"
5623,Where can I find something nearby?,places near me
5624,places near me,places near me
5625,i want to listen to soft rock,play on youtube
5626,screen shot now,take screenshot
5627,Give me a joke,tell me joke
5628,what is the time,asking time
5629,tell me the music that is playing,play on youtube
5630,what is the weather day before tomorrow,asking weather
5631,please look up local restaurants that are open now,places near me
5632,play games of xyz 64 bit,play games
5633,Hola how are you?,"greet and hello hi kind of things, general check in"
5634,Hola how are you?,"greet and hello hi kind of things, general check in"
5635,What can you assist me with?,what can you do
5636,what day of the week does the twenty second fall on this month,asking time
5637,see you later,goodbye
5638,My user is Adam,"greet and hello hi kind of things, general check in"
5639,can you recommend good stores in this area,places near me
5640,what time is it now,asking time
5641,capture selfie,click photo
5642,Hello how are you?,"greet and hello hi kind of things, general check in"
5643,It is Adam,"greet and hello hi kind of things, general check in"
5644,What are the top places nearby?,places near me
5645,Hello,"greet and hello hi kind of things, general check in"
5646,send email to <name> about <name>,send email
5647,play on youtube,play on youtube
5648,iphone,tell me news
5649,downloads management,tell me about
5650,i would like to hear some rap music,play on youtube
5651,what is the current central time,asking time
5652,Can you tell me about,tell me about
5653,"s2, i don't get your words.",tell me about
5654,tell me about tomorrow,tell me about
5655,day before tomorrow,asking date
5656,please change the volume to mute,volume control
5657,please send an email to mom,send email
5658,do i need to take an umbrella today,asking weather
5659,hi how are you,"greet and hello hi kind of things, general check in"
5660,bye,goodbye
5661,Good thanks! My user is Adam,"greet and hello hi kind of things, general check in"
5662,Do you know any jokes,tell me joke
5663,initiate the music on the electronic playlist,play on youtube
5664,down,volume control
5665,It is Adam,"greet and hello hi kind of things, general check in"
5666,my friend john has sent me a invitation card to his newly bought home say thanks to him in his mail id,send email
5667,What can you assist me with?,what can you do
5668,"Thank you, bye",goodbye
5669,what's happening in the news,tell me news
5670,play let me love you on youtube,play on youtube
5671,Hope you are doing well?,"greet and hello hi kind of things, general check in"
5672,tell me a joke about the sun,tell me joke
5673,download youtube video of minecraft,download youtube video
5674,what time is it day before tomorrow,asking time
5675,tell me a joke about asia,tell me joke
5676,i want to hear a funny joke,tell me joke
5677,any local news stories for my home city,tell me news
5678,This is Adam,"greet and hello hi kind of things, general check in"
5679,i am bored,i am bored
5680,Where can I find something nearby?,places near me
5681,write an email recipient ray,send email
5682,screen shot,take screenshot
5683,best bar in local area,places near me
5684,hey read any email to me,send email
5685,open website stackoverflow.com,open website
5686,hello there,"greet and hello hi kind of things, general check in"
5687,Can you turn the volume down?,volume control
5688,play pacman game with me,play games
5689,would you please once again rephrase me on your answers.,tell me about
5690,"Thank you, goodbye",goodbye
5691,volume control increase by 10,volume control
5692,What are the things you can do?,what can you do
5693,let's play nine ball against me adapt with my skill level always let me win,play games
5694,click photo,click photo
5695,turn off the sounds,volume control
5696,Hello how are you?,"greet and hello hi kind of things, general check in"
5697,open website twitter.com,open website
5698,Give me a joke,tell me joke
5699,are there any shopping centers nearby,places near me
5700,tell me about yours,tell me about
5701,the last friday of the month lands on what day,asking time
5702,are you human,tell me about
5703,download youtube video of <name>,download youtube video
5704,keep quiet,volume control
5705,play games of xyz 64 bit,play games
5706,tell me news day after tomorrow,tell me news
5707,how often do you complete updates,tell me about
5708,what is the current time in lagos nigeria,asking time
5709,are there any emails i haven't read yet,send email
5710,Where should I go nearby?,places near me
5711,send email to family and tell them to bring the bug spray before coming to the park,send email
5712,click selfie,click photo
5713,Thanks goodbye,goodbye
5714,hello,"greet and hello hi kind of things, general check in"
5715,what is the weather like now day before tomorrow,asking weather
5716,please tell me the latest news about the election scenario in our state,tell me news
5717,Hello,"greet and hello hi kind of things, general check in"
5718,Hello,"greet and hello hi kind of things, general check in"
5719,good afternoon,goodbye
5720,Great thanks! It is Bella,"greet and hello hi kind of things, general check in"
5721,Hello how are you?,"greet and hello hi kind of things, general check in"
5722,good bye,goodbye
5723,Do you know what time it is?,asking time
5724,take screenshot,take screenshot
5725,can you play rfi,play on youtube
5726,did ashwin joined party yesterday,tell me about
5727,hey there,"greet and hello hi kind of things, general check in"
5728,What is the time?,asking time
5729,"Thank you, goodbye",goodbye
5730,good afternoon,goodbye
5731,Hola how are you?,"greet and hello hi kind of things, general check in"
5732,what's good news today,tell me news
5733,please be silent until i tell you not to be,volume control
5734,places near me to eat today,places near me
5735,good afternoon,goodbye
5736,has mike sent me an email,send email
5737,good afternoon,goodbye
5738,open website stackoverflow.com,open website
5739,What can you help me with?,what can you do
5740,what is the day of the week,asking date
5741,send email to dipesh,send email
5742,turn on my michael jackson playlist,play on youtube
5743,decrease volume,volume control
5744,"Thank you, bye",goodbye
5745,tell me a joke about virginia,tell me joke
5746,places near me to eat today with my friends,places near me
5747,send whatsapp message about <name>,send whatsapp message
5748,Great thanks! My user is Bella,"greet and hello hi kind of things, general check in"
5749,open website stackoverflow.com,open website
5750,tell me news tomorrow,tell me news
5751,This is Adam,"greet and hello hi kind of things, general check in"
5752,click selfie of,click photo
5753,send whatsapp message about <name>,send whatsapp message
5754,Quiet,goodbye
5755,today,asking date
5756,i am bored,i am bored
5757,who won the sports game last night,tell me about
5758,download youtube video hd of,download youtube video
5759,screen shot,take screenshot
5760,Can you turn the volume down?,volume control
5761,Quiet,goodbye
5762,i am bored today what can i do,i am bored
5763,What can you assist me with?,what can you do
5764,Enough talking,goodbye
5765,Good thanks! I am Adam,"greet and hello hi kind of things, general check in"
5766,open website linkedin.com,open website
5767,Hello,"greet and hello hi kind of things, general check in"
5768,Tell me a joke,tell me joke
5769,tell me about my day,tell me about
5770,set notification from world news,tell me news
5771,send this email to reply to the latest emails,send email
5772,play from smashing pumpkins,play on youtube
5773,rephrase further on your response please.,tell me about
5774,play guru randhawa on youtube,play on youtube
5775,hey there,"greet and hello hi kind of things, general check in"
5776,good evening,goodbye
5777,play <song> on youtube,play on youtube
5778,will you further elaborate me on what you have said please.,tell me about
5779,what is the weather like today,asking weather
5780,please slow down volume of speaker,volume control
5781,take screenshot,take screenshot
5782,click selfie of,click photo
5783,today,asking date
5784,send email to <name>,send email
5785,find shoe shopping near my home,places near me
5786,hey,"greet and hello hi kind of things, general check in"
5787,Hello,"greet and hello hi kind of things, general check in"
5788,I am feeling a bit bored,i am bored
5789,what is the name of that song that just went off,play on youtube
5790,volume control decrease by 10,volume control
5791,tell me about my world,tell me about
5792,Great thanks! I am Bella,"greet and hello hi kind of things, general check in"
5793,send whatsapp message,send whatsapp message
5794,This is Adam,"greet and hello hi kind of things, general check in"
5795,current time new york,asking time
5796,"s1, can you please again rephrase to me.",tell me about
5797,day after tomorrow,asking date
5798,tell me about my family,tell me about
5799,Great thanks! It is Bella,"greet and hello hi kind of things, general check in"
5800,download youtube video of <name>,download youtube video
5801,I am looking for,tell me about
5802,tell me a dirty joke,tell me joke
5803,run indian folk song,play on youtube
5804,load a fun game that i can play with you,play games
5805,tell me about tomorrow,tell me about
5806,Can you tell me the time?,asking time
5807,play snake with me,play games
5808,what is the weather like now,asking weather
5809,tell me a joke about xenophobia,tell me joke
5810,Hello there,"greet and hello hi kind of things, general check in"
5811,"Thank you, goodbye",goodbye
5812,tell me about my day,tell me about
5813,where is a theatre in my area,places near me
5814,what is the weather like now tomorrow,asking weather
5815,What is the weather like today,asking weather
5816,Please be quiet,goodbye
5817,joke me,tell me joke
5818,what is the weather tomorrow,asking weather
5819,show me what day the thirty first is on,asking time
5820,How are you?,"greet and hello hi kind of things, general check in"
5821,open some cools jokes,tell me joke
5822,could you play you don't bring me flowers,play on youtube
5823,download youtube video of <name>,download youtube video
5824,download youtube video of minecraft,download youtube video
5825,what is time now in california,asking time
5826,get news about new foreign policy,tell me news
5827,send an email with the address you gave me to jean saying meet us here at eight pm,send email
5828,make me laugh,tell me joke
5829,play on youtube,play on youtube
5830,click selfie of,click photo
5831,i am bored what can i do today,i am bored
5832,what artist is singing that song,play on youtube
5833,tell me about current status of sunderland vs liverpool match,tell me news
5834,This is Adam,"greet and hello hi kind of things, general check in"
5835,tell me my choices for a good steak restaurant near here,places near me
5836,coordinate all pop song genres,play on youtube
5837,tell me about,tell me about
5838,Can you set the volume to minimum?,volume control
5839,What are the top places nearby?,places near me
5840,i am bored today what can i do,i am bored
5841,notification regarding the new iphone release update,tell me news
5842,send whatsapp message to 9898982565,send whatsapp message
5843,Hello,"greet and hello hi kind of things, general check in"
5844,what is the day,asking date
5845,can you set radio to mute,volume control
5846,How are you doing?,"greet and hello hi kind of things, general check in"
5847,play all by the beatles,play on youtube
5848,"send email to robert, what time is dinner",send email
5849,"Thank you, goodbye",goodbye
5850,Hola how are you?,"greet and hello hi kind of things, general check in"
5851,open up tetris,play games
5852,screen shot of <name>,take screenshot
5853,check someone's recent emails,send email
5854,i need a naughty joke not to naughty though,tell me joke
5855,inbox my family,send email
5856,i want to know more about this person,tell me about
5857,what is the day,asking date
5858,i'm looking for some dress shows can you find clothing stores within one mile,places near me
5859,Quiet,goodbye
5860,tell me about tomorrow,tell me about
5861,can you elaborate further on this to me please.,tell me about
5862,"Thank you, bye",goodbye
5863,launch super mario,play games
5864,I am not entertained,i am bored
5865,what do you do with my personal data,tell me about
5866,i dont want to carry an umbrella will we have rain today,asking weather
5867,hi there,"greet and hello hi kind of things, general check in"
5868,play keno,play games
5869,i am bored what can i do today with my boyfriend,i am bored
5870,tell me a fun joke,tell me joke
5871,when is easter in the year two thousand and eighteen,asking time
5872,please play the song games by disturbed,play on youtube
5873,Give me a joke,tell me joke
5874,tell me about my college,tell me about
5875,See you later,goodbye
5876,download youtube video of minecraft,download youtube video
5877,send email about <name>,send email
5878,send whatsapp message to,send whatsapp message
5879,decrease the volume to ten,volume control
5880,please let me know today's date,asking time
5881,can you please be muted for a while,volume control
5882,play games of xxd,play games
5883,hey there,"greet and hello hi kind of things, general check in"
5884,give me the news on donald trump,tell me news
5885,please archive my read messages,send email
5886,I am so bored,i am bored
5887,don't talk until i ask you to,volume control
5888,Great thanks! My user is Bella,"greet and hello hi kind of things, general check in"
5889,Do you know what time it is?,asking time
5890,Do you know what time it is?,asking time
5891,get me match highlights,tell me news
5892,Do you know any jokes,tell me joke
5893,what song in the theme song for frasier,play on youtube
5894,Do you know what time it is?,asking time
5895,today some things happened,tell me about
5896,show me the time in new york city,asking time
5897,please do not talk for thirty minutes,volume control
5898,What actions can you perform?,what can you do
5899,what is the news about terrorist attack in afghanistan,tell me news
5900,how many emails have i got since yesterday,send email
5901,"Thank you, goodbye",goodbye
5902,plan me a holiday trip,tell me about
5903,Can you tell me the best places nearby?,places near me
5904,download youtube video of minecraft,download youtube video
5905,covid confirmed cases of,covid cases
5906,Bye,goodbye
5907,what is the weather like day after tomorrow,asking weather
5908,it's really loud can you please turn the music down,volume control
5909,screen shot now,take screenshot
5910,tell me news,tell me news
5911,send email to <name>,send email
5912,tell me about my job,tell me about
5913,tell me news today,tell me news
5914,What can you assist me with?,what can you do
5915,what song is this,play on youtube
5916,what day is christmas,asking time
5917,Where should I go nearby?,places near me
5918,send whatsapp message to,send whatsapp message
5919,can you tell me a joke,tell me joke
5920,please show me the local weather,asking weather
5921,open some cools jokes,tell me joke
5922,what time is it day before tomorrow,asking time
5923,will it be nice at the beach on friday,asking weather
5924,play ping pong,play games
5925,send whatsapp message,send whatsapp message
5926,Enough talking,goodbye
5927,send email to dipesh,send email
5928,Where can I find something nearby?,places near me
5929,take screenshot,take screenshot
5930,Hello,"greet and hello hi kind of things, general check in"
5931,covid confirmed cases,covid cases
5932,slow the volume speaker,volume control
5933,Where can I find,tell me about
5934,what's good news,tell me news
5935,screen shot now,take screenshot
5936,Great thanks! This is Bella,"greet and hello hi kind of things, general check in"
5937,play bad guy on youtube,play on youtube
5938,give me the winning numbers to the powerball lottery,tell me news
5939,covid cases of,covid cases
5940,respond back to the mail,send email
5941,a joke please,tell me joke
5942,tell me you,tell me about
5943,Great thanks! My user is Bella,"greet and hello hi kind of things, general check in"
5944,send whatsapp message,send whatsapp message
5945,click photo of <name>,click photo
5946,"Thank you, bye",goodbye
5947,tell me news,tell me news
5948,turn down the speakers,volume control
5949,Hya,"greet and hello hi kind of things, general check in"
5950,Hya there,"greet and hello hi kind of things, general check in"
5951,i bought pre season baseball tickets,tell me about
5952,turn down volume twenty percent,volume control
5953,tell me about new emails,send email
5954,It is Adam,"greet and hello hi kind of things, general check in"
5955,send email,send email
5956,What is the weather like today,asking weather
5957,tell me a joke about getting a first,tell me joke
5958,hey check emails,send email
5959,good bye,goodbye
5960,tell me a play list,play on youtube
5961,screen shot of <name>,take screenshot
5962,send whatsapp message,send whatsapp message
5963,download youtube video of,download youtube video
5964,tell me a fun joke,tell me joke
5965,what song do i listen to the most,play on youtube
5966,who is the song playing by,play on youtube
